Item,Value
Baseline SmO2 (%),63.967592592592595
Slope1 0-60s (%/s),-0.1809751765042373
Slope1 30-150s (%/s),-0.23625790153515497
Oxy Deficit (%·s),9081.457175925927
Min SmO2 (%),10.0
Peak SmO2 (%),79.33333333333333
Magnitude (%),69.33333333333333
Slope2 0-10s (%/s),-0.27792207792207796
Slope2 0-30s (%/s),1.6930724484399793
T50 (s),24.973684310913086
T95 (s),58.980000019073486
AUC 3min (%·min),18.85567129629629
