condition,session,baseline_smo2,slope1_0_60,slope1_30_150,oxy_deficit,min_smo2,peak_smo2,magnitude,slope2_0_10,slope2_0_30,t50_sec,t95_sec,auc_3min,start,inflate,deflate,end
NOR,Baseline,68.51574074074074,-0.18209968537837395,-0.1861696939214855,9457.388888888887,12.777777777777779,69.11111111111111,56.333333333333336,3.8923520923520925,1.9101592337975215,7.755208253860474,15.304166555404663,0.05088734567901294,13:02:00,13:03:00,13:08:00,13:11:00
NOR,Recovery2,66.86666666666667,-0.25756070390943764,-0.23199078678143156,9750.600000000002,6.777777777777778,79.44444444444444,72.66666666666667,4.354978354978355,2.615124272871497,8.689655065536499,18.706249952316284,20.703148148148134,14:04:40,14:05:40,14:10:40,14:13:40
HYPO,Baseline,70.13888888888889,-0.12959249725270586,-0.17334072524566632,6011.881944444443,24.333333333333332,79.88888888888889,55.55555555555556,-0.33304473304473325,1.7206886421058822,21.920000076293945,33.25,13.169560185185192,12:14:30,12:15:30,12:20:30,12:23:30
HYPO,Recovery2,63.967592592592595,-0.1809751765042373,-0.23625790153515497,9081.457175925927,10.0,79.33333333333333,69.33333333333333,-0.27792207792207796,1.6930724484399793,24.973684310913086,58.980000019073486,18.85567129629629,13:12:00,13:13:00,13:18:00,13:21:00
HYPER,Baseline,62.388888888888886,-0.20496319378584646,-0.18177112505667742,8463.0,9.666666666666666,81.11111111111111,71.44444444444444,4.002020202020202,2.6531993654151256,9.641666650772095,31.924999952316284,37.46087962962964,14:00:00,14:01:00,14:06:00,14:09:00
HYPER,Recovery2,57.49444444444444,-0.25754414487648486,-0.23799519144671868,9522.77361111111,5.888888888888889,81.77777777777777,75.88888888888889,4.78124098124098,2.6484752335624897,8.729166746139526,31.924999952316284,40.52465277777779,15:06:00,15:07:00,15:12:00,15:15:00
