Item,Value
Baseline SmO2 (%),62.388888888888886
Slope1 0-60s (%/s),-0.20496319378584646
Slope1 30-150s (%/s),-0.18177112505667742
Oxy Deficit (%·s),8463.0
Min SmO2 (%),9.666666666666666
Peak SmO2 (%),81.11111111111111
Magnitude (%),71.44444444444444
Slope2 0-10s (%/s),4.002020202020202
Slope2 0-30s (%/s),2.6531993654151256
T50 (s),9.641666650772095
T95 (s),31.924999952316284
AUC 3min (%·min),37.46087962962964
