SensorID: 5498,
Firmware Version: 1.5.5,

mm-dd,hh:mm:ss,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
2-11,14:2:5,49,49,13.17,4,37,
2-11,14:2:5,48,48,13.17,4,37,
2-11,14:2:6,48,48,13.17,4,37,
2-11,14:2:6,48,48,13.16,4,37,
2-11,14:2:7,48,48,13.18,4,37,
2-11,14:2:7,49,49,13.21,4,37,
2-11,14:2:8,47,47,13.16,4,37,
2-11,14:2:8,48,48,13.18,4,37,
2-11,14:2:9,47,47,13.17,4,37,
2-11,14:2:9,47,47,13.16,4,37,
2-11,14:2:10,48,48,13.18,4,37,
2-11,14:2:10,47,47,13.16,4,37,
2-11,14:2:11,47,47,13.18,4,37,
2-11,14:2:11,47,47,13.17,4,37,
2-11,14:2:12,47,47,13.18,4,37,
2-11,14:2:12,48,48,13.2,4,37,
2-11,14:2:13,47,47,13.18,4,37,
2-11,14:2:13,48,48,13.19,4,37,
2-11,14:2:14,47,47,13.17,4,37,
2-11,14:2:14,47,47,13.19,4,37,
2-11,14:2:15,46,46,13.17,4,37,
2-11,14:2:15,46,46,13.18,4,37,
2-11,14:2:16,46,46,13.17,4,37,
2-11,14:2:16,45,45,13.17,4,37,
2-11,14:2:17,45,45,13.15,4,37,
2-11,14:2:17,46,46,13.17,4,37,
2-11,14:2:18,46,46,13.19,4,37,
2-11,14:2:18,45,45,13.16,4,37,
2-11,14:2:19,46,46,13.18,4,37,
2-11,14:2:19,45,45,13.16,4,37,
2-11,14:2:20,45,45,13.17,4,37,
2-11,14:2:20,45,45,13.16,4,37,
2-11,14:2:21,46,46,13.2,4,37,
2-11,14:2:21,45,45,13.17,4,37,
2-11,14:2:22,46,46,13.19,4,37,
2-11,14:2:22,46,46,13.18,4,37,
2-11,14:2:23,45,45,13.18,4,37,
2-11,14:2:23,44,44,13.16,4,37,
2-11,14:2:24,45,45,13.19,4,37,
2-11,14:2:24,44,44,13.18,4,37,
2-11,14:2:25,45,45,13.18,4,37,
