SensorID: 5498,
Firmware Version: 1.5.5,

mm-dd,hh:mm:ss,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
2-11,14:21:49,59,59,13.08,4,37,
2-11,14:21:49,58,58,13.07,4,37,
2-11,14:21:50,57,57,13.06,4,37,
2-11,14:21:50,57,57,13.07,4,37,
2-11,14:21:51,57,57,13.06,4,37,
2-11,14:21:51,56,56,13.03,4,37,
2-11,14:21:52,56,56,13.03,4,37,
2-11,14:21:52,58,58,13.09,4,37,
2-11,14:21:53,58,58,13.07,4,37,
2-11,14:21:53,58,58,13.09,4,37,
2-11,14:21:54,57,57,13.05,4,37,
2-11,14:21:54,58,58,13.08,4,37,
2-11,14:21:55,59,59,13.09,4,37,
2-11,14:21:55,57,57,13.06,4,37,
2-11,14:21:56,57,57,13.07,4,37,
2-11,14:21:56,56,56,13.04,4,37,
2-11,14:21:57,57,57,13.06,4,37,
2-11,14:21:57,57,57,13.06,4,37,
2-11,14:21:58,57,57,13.06,4,37,
2-11,14:21:58,58,58,13.08,4,37,
2-11,14:21:59,57,57,13.08,4,37,
2-11,14:21:59,59,59,13.1,4,37,
2-11,14:22:0,58,58,13.1,4,37,
2-11,14:22:0,58,58,13.08,4,37,
2-11,14:22:1,59,59,13.1,4,37,
2-11,14:22:1,56,56,13.05,4,37,
2-11,14:22:2,57,57,13.09,4,37,
2-11,14:22:2,58,58,13.09,4,37,
2-11,14:22:3,56,56,13.05,4,37,
2-11,14:22:3,55,55,13.02,4,37,
2-11,14:22:4,56,56,13.04,4,37,
2-11,14:22:4,58,58,13.08,4,37,
2-11,14:22:5,58,58,13.1,4,37,
2-11,14:22:5,57,57,13.05,4,37,
2-11,14:22:6,56,56,13.04,4,37,
2-11,14:22:6,57,57,13.05,4,37,
2-11,14:22:7,56,56,13.05,4,37,
2-11,14:22:7,58,58,13.08,4,37,
2-11,14:22:8,57,57,13.08,4,37,
2-11,14:22:8,56,56,13.06,4,37,
2-11,14:22:9,57,57,13.05,4,37,
2-11,14:22:9,57,57,13.07,4,37,
2-11,14:22:10,57,57,13.07,4,37,
2-11,14:22:10,57,57,13.08,4,37,
2-11,14:22:11,57,57,13.07,4,37,
2-11,14:22:11,57,57,13.05,4,37,
2-11,14:22:12,56,56,13.05,4,37,
2-11,14:22:12,57,57,13.08,4,37,
2-11,14:22:13,57,57,13.08,4,37,
2-11,14:22:13,55,55,13.02,4,37,
2-11,14:22:14,58,58,13.08,4,37,
2-11,14:22:14,58,58,13.09,4,37,
2-11,14:22:15,58,58,13.09,4,37,
2-11,14:22:15,58,58,13.08,4,37,
2-11,14:22:16,57,57,13.06,4,37,
2-11,14:22:16,57,57,13.08,4,37,
2-11,14:22:17,58,58,13.09,4,37,
2-11,14:22:17,58,58,13.08,4,37,
2-11,14:22:18,57,57,13.07,4,37,
2-11,14:22:18,58,58,13.08,4,37,
2-11,14:22:19,58,58,13.07,4,37,
2-11,14:22:19,57,57,13.07,4,37,
2-11,14:22:20,56,56,13.06,4,37,
2-11,14:22:20,57,57,13.06,4,37,
2-11,14:22:21,58,58,13.09,4,37,
2-11,14:22:21,58,58,13.09,4,37,
2-11,14:22:22,58,58,13.08,4,37,
2-11,14:22:22,58,58,13.08,4,37,
2-11,14:22:23,58,58,13.08,4,37,
2-11,14:22:23,58,58,13.1,4,37,
2-11,14:22:24,57,57,13.05,4,37,
2-11,14:22:24,58,58,13.07,4,37,
2-11,14:22:25,57,57,13.07,4,37,
2-11,14:22:25,59,59,13.09,4,37,
2-11,14:22:26,58,58,13.09,4,37,
2-11,14:22:26,58,58,13.09,4,37,
2-11,14:22:27,57,57,13.06,4,37,
2-11,14:22:27,58,58,13.06,4,37,
2-11,14:22:28,59,59,13.1,4,37,
2-11,14:22:28,57,57,13.04,4,37,
2-11,14:22:29,58,58,13.06,4,37,
2-11,14:22:29,58,58,13.08,4,37,
2-11,14:22:30,58,58,13.06,4,37,
2-11,14:22:30,59,59,13.08,4,37,
2-11,14:22:31,58,58,13.08,4,37,
2-11,14:22:31,59,59,13.07,4,37,
2-11,14:22:32,58,58,13.07,4,37,
2-11,14:22:32,57,57,13.04,4,37,
2-11,14:22:33,58,58,13.08,4,37,
2-11,14:22:33,59,59,13.11,4,37,
2-11,14:22:34,59,59,13.07,4,37,
2-11,14:22:34,58,58,13.06,4,37,
2-11,14:22:35,59,59,13.09,4,37,
2-11,14:22:35,58,58,13.06,4,37,
2-11,14:22:36,58,58,13.07,4,37,
2-11,14:22:36,58,58,13.06,4,37,
2-11,14:22:37,57,57,13.04,4,37,
2-11,14:22:37,57,57,13.04,4,37,
2-11,14:22:38,58,58,13.06,4,37,
2-11,14:22:38,58,58,13.07,4,37,
2-11,14:22:39,58,58,13.07,4,37,
2-11,14:22:39,58,58,13.07,4,37,
2-11,14:22:40,60,60,13.09,4,37,
2-11,14:22:40,59,59,13.08,4,37,
2-11,14:22:41,58,58,13.07,4,37,
2-11,14:22:41,58,58,13.06,4,37,
2-11,14:22:42,60,60,13.09,4,37,
2-11,14:22:42,57,57,13.04,4,37,
2-11,14:22:43,60,60,13.09,4,37,
2-11,14:22:43,58,58,13.04,4,37,
2-11,14:22:44,59,59,13.08,4,37,
2-11,14:22:44,58,58,13.04,4,37,
2-11,14:22:45,57,57,13.03,4,37,
2-11,14:22:45,58,58,13.06,4,37,
2-11,14:22:46,59,59,13.07,4,37,
2-11,14:22:46,59,59,13.09,4,37,
2-11,14:22:47,59,59,13.05,4,37,
2-11,14:22:47,59,59,13.08,4,37,
2-11,14:22:48,58,58,13.05,4,37,
2-11,14:22:48,58,58,13.05,4,37,
2-11,14:22:49,59,59,13.07,4,37,
2-11,14:22:49,58,58,13.05,4,37,
2-11,14:22:50,60,60,13.08,4,37,
2-11,14:22:50,60,60,13.09,4,37,
2-11,14:22:51,60,60,13.08,4,37,
2-11,14:22:51,58,58,13.04,4,37,
2-11,14:22:52,57,57,13.03,4,37,
2-11,14:22:52,58,58,13.06,4,37,
2-11,14:22:53,60,60,13.08,4,37,
2-11,14:22:53,59,59,13.06,4,37,
2-11,14:22:54,59,59,13.06,4,37,
2-11,14:22:54,58,58,13.02,4,37,
2-11,14:22:55,58,58,13.03,4,37,
2-11,14:22:55,58,58,13.05,4,37,
2-11,14:22:56,58,58,13.04,4,37,
2-11,14:22:56,59,59,13.08,4,37,
2-11,14:22:57,58,58,13.05,4,37,
2-11,14:22:57,58,58,13.05,4,37,
2-11,14:22:58,58,58,13.05,4,37,
2-11,14:22:58,58,58,13.03,4,37,
2-11,14:22:59,58,58,13.06,4,37,
2-11,14:22:59,59,59,13.06,4,37,
2-11,14:23:0,58,58,13.04,4,37,
2-11,14:23:0,58,58,13.06,4,37,
2-11,14:23:1,59,59,13.07,4,37,
2-11,14:23:1,58,58,13.03,4,37,
2-11,14:23:2,60,60,13.05,4,37,
2-11,14:23:2,58,58,13.02,4,37,
2-11,14:23:3,59,59,13.04,4,37,
2-11,14:23:3,59,59,13.05,4,37,
2-11,14:23:4,60,60,13.06,4,37,
2-11,14:23:4,60,60,13.06,4,37,
2-11,14:23:5,60,60,13.06,4,37,
2-11,14:23:5,60,60,13.06,4,37,
2-11,14:23:6,59,59,13.04,4,37,
2-11,14:23:6,58,58,13.01,4,37,
2-11,14:23:7,58,58,13.02,4,37,
2-11,14:23:7,60,60,13.06,4,37,
2-11,14:23:8,59,59,13.04,4,37,
2-11,14:23:8,60,60,13.06,4,37,
2-11,14:23:9,58,58,13.02,4,37,
2-11,14:23:9,58,58,13.02,4,37,
2-11,14:23:10,60,60,13.05,4,37,
2-11,14:23:10,59,59,13.04,4,37,
2-11,14:23:11,60,60,13.08,4,37,
2-11,14:23:11,59,59,13.05,4,37,
2-11,14:23:12,59,59,13.07,4,37,
2-11,14:23:12,59,59,13.04,4,37,
2-11,14:23:13,59,59,13.05,4,37,
2-11,14:23:13,60,60,13.05,4,37,
2-11,14:23:14,59,59,13.05,4,37,
2-11,14:23:14,60,60,13.05,4,37,
2-11,14:23:15,60,60,13.07,4,37,
2-11,14:23:15,58,58,13.02,4,37,
2-11,14:23:16,58,58,13.02,4,37,
2-11,14:23:16,59,59,13.05,4,37,
2-11,14:23:17,60,60,13.06,4,37,
2-11,14:23:17,59,59,13.04,4,37,
2-11,14:23:18,60,60,13.06,4,37,
2-11,14:23:18,60,60,13.06,4,37,
2-11,14:23:19,59,59,13.06,4,37,
2-11,14:23:19,59,59,13.06,4,37,
2-11,14:23:20,58,58,13.01,4,37,
2-11,14:23:20,59,59,13.06,4,37,
2-11,14:23:21,59,59,13.06,4,37,
2-11,14:23:21,59,59,13.07,4,37,
2-11,14:23:22,60,60,13.08,4,37,
2-11,14:23:22,58,58,13.02,4,37,
2-11,14:23:23,58,58,13.04,4,37,
2-11,14:23:23,59,59,13.06,4,37,
2-11,14:23:24,61,61,13.09,4,37,
2-11,14:23:24,59,59,13.04,4,37,
2-11,14:23:25,59,59,13.06,4,37,
2-11,14:23:25,59,59,13.05,4,37,
2-11,14:23:26,59,59,13.07,4,37,
2-11,14:23:26,58,58,13.04,4,37,
2-11,14:23:27,59,59,13.06,4,37,
2-11,14:23:27,58,58,13.05,4,37,
2-11,14:23:28,58,58,13.04,4,37,
2-11,14:23:28,57,57,13.03,4,37,
2-11,14:23:29,59,59,13.06,4,37,
2-11,14:23:29,57,57,13.03,4,37,
2-11,14:23:30,59,59,13.06,4,37,
2-11,14:23:30,58,58,13.06,4,37,
2-11,14:23:31,57,57,12.99,4,37,
2-11,14:23:31,57,57,13.03,4,37,
2-11,14:23:32,57,57,13.03,4,37,
2-11,14:23:32,60,60,13.08,4,37,
2-11,14:23:33,59,59,13.08,4,37,
2-11,14:23:33,58,58,13.05,4,37,
2-11,14:23:34,58,58,13.04,4,37,
2-11,14:23:34,57,57,13.01,4,37,
2-11,14:23:35,58,58,13.03,4,37,
2-11,14:23:35,59,59,13.08,4,37,
2-11,14:23:36,58,58,13.04,4,37,
2-11,14:23:36,58,58,13.03,4,37,
2-11,14:23:37,59,59,13.06,4,37,
2-11,14:23:37,59,59,13.06,4,37,
2-11,14:23:38,58,58,13.06,4,37,
2-11,14:23:38,60,60,13.08,4,37,
2-11,14:23:39,59,59,13.05,4,37,
2-11,14:23:39,57,57,13.04,4,37,
2-11,14:23:40,58,58,13.05,4,37,
2-11,14:23:40,57,57,13.06,4,37,
2-11,14:23:41,57,57,13.03,4,37,
2-11,14:23:41,59,59,13.1,4,37,
2-11,14:23:42,59,59,13.08,4,37,
2-11,14:23:42,56,56,13,4,37,
2-11,14:23:43,58,58,13.05,4,37,
2-11,14:23:43,58,58,13.04,4,37,
2-11,14:23:44,57,57,13.03,4,37,
2-11,14:23:44,59,59,13.08,4,37,
2-11,14:23:45,58,58,13.04,4,37,
2-11,14:23:45,58,58,13.04,4,37,
2-11,14:23:46,59,59,13.1,4,37,
2-11,14:23:46,58,58,13.07,4,37,
2-11,14:23:47,59,59,13.07,4,37,
2-11,14:23:47,57,57,13.04,4,37,
2-11,14:23:48,60,60,13.09,4,37,
2-11,14:23:48,57,57,13.04,4,37,
2-11,14:23:49,58,58,13.05,4,37,
2-11,14:23:49,58,58,13.05,4,37,
2-11,14:23:50,58,58,13.04,4,37,
2-11,14:23:50,57,57,13.05,4,37,
2-11,14:23:51,57,57,13.05,4,37,
2-11,14:23:51,57,57,13.04,4,37,
2-11,14:23:52,60,60,13.08,4,37,
2-11,14:23:52,57,57,13.02,4,37,
2-11,14:23:53,59,59,13.07,4,37,
2-11,14:23:53,57,57,13.04,4,37,
2-11,14:23:54,57,57,13.03,4,37,
2-11,14:23:54,59,59,13.1,4,37,
2-11,14:23:55,59,59,13.05,4,37,
2-11,14:23:55,58,58,13.06,4,37,
2-11,14:23:56,57,57,13.03,4,37,
2-11,14:23:56,59,59,13.08,4,37,
2-11,14:23:57,58,58,13.07,4,37,
2-11,14:23:57,58,58,13.02,4,37,
2-11,14:23:58,59,59,13.07,4,37,
2-11,14:23:58,58,58,13.06,4,37,
2-11,14:23:59,58,58,13.07,4,37,
2-11,14:23:59,58,58,13.08,4,37,
2-11,14:24:0,59,59,13.08,4,37,
2-11,14:24:0,59,59,13.08,4,37,
2-11,14:24:1,59,59,13.07,4,37,
2-11,14:24:1,58,58,13.05,4,37,
2-11,14:24:2,58,58,13.04,4,37,
2-11,14:24:2,61,61,13.12,4,37,
2-11,14:24:3,58,58,13.02,4,37,
2-11,14:24:3,60,60,13.08,4,37,
2-11,14:24:4,58,58,13.05,4,37,
2-11,14:24:4,58,58,13.05,4,37,
2-11,14:24:5,57,57,13.02,4,37,
2-11,14:24:5,58,58,13.04,4,37,
2-11,14:24:6,58,58,13.05,4,37,
2-11,14:24:6,58,58,13.05,4,37,
2-11,14:24:7,59,59,13.08,4,37,
2-11,14:24:7,58,58,13.05,4,37,
2-11,14:24:8,58,58,13.06,4,37,
2-11,14:24:8,58,58,13.04,4,37,
2-11,14:24:9,58,58,13.05,4,37,
2-11,14:24:9,57,57,13.03,4,37,
2-11,14:24:10,59,59,13.07,4,37,
2-11,14:24:10,58,58,13.08,4,37,
2-11,14:24:11,58,58,13.06,4,37,
2-11,14:24:11,58,58,13.05,4,37,
2-11,14:24:12,58,58,13.04,4,37,
2-11,14:24:12,59,59,13.07,4,37,
2-11,14:24:13,57,57,13.02,4,37,
2-11,14:24:13,57,57,13.04,4,37,
2-11,14:24:14,58,58,13.05,4,37,
2-11,14:24:14,59,59,13.06,4,37,
2-11,14:24:15,59,59,13.09,4,37,
2-11,14:24:15,58,58,13.04,4,37,
2-11,14:24:16,59,59,13.08,4,37,
2-11,14:24:16,58,58,13.07,4,37,
2-11,14:24:17,57,57,13.02,4,37,
2-11,14:24:17,59,59,13.06,4,37,
2-11,14:24:18,59,59,13.06,4,37,
2-11,14:24:18,58,58,13.06,4,37,
2-11,14:24:19,59,59,13.06,4,37,
2-11,14:24:19,58,58,13.06,4,37,
2-11,14:24:20,58,58,13.07,4,37,
2-11,14:24:20,57,57,13.03,4,37,
2-11,14:24:21,59,59,13.09,4,37,
2-11,14:24:21,58,58,13.05,4,37,
2-11,14:24:22,59,59,13.07,4,37,
2-11,14:24:22,58,58,13.04,4,37,
2-11,14:24:23,58,58,13.06,4,37,
2-11,14:24:23,58,58,13.06,4,37,
2-11,14:24:24,58,58,13.03,4,37,
2-11,14:24:24,58,58,13.07,4,37,
2-11,14:24:25,58,58,13.05,4,37,
2-11,14:24:25,59,59,13.09,4,37,
2-11,14:24:26,58,58,13.04,4,37,
2-11,14:24:26,58,58,13.08,4,37,
2-11,14:24:27,58,58,13.06,4,37,
2-11,14:24:27,59,59,13.08,4,37,
2-11,14:24:28,58,58,13.05,4,37,
2-11,14:24:28,58,58,13.07,4,37,
2-11,14:24:29,58,58,13.04,4,37,
2-11,14:24:29,58,58,13.06,4,37,
2-11,14:24:30,58,58,13.06,4,37,
2-11,14:24:30,58,58,13.03,4,37,
2-11,14:24:31,59,59,13.07,4,37,
2-11,14:24:31,58,58,13.05,4,37,
2-11,14:24:32,57,57,13.04,4,37,
2-11,14:24:32,57,57,13.04,4,37,
2-11,14:24:33,58,58,13.09,4,37,
2-11,14:24:33,58,58,13.06,4,37,
2-11,14:24:34,59,59,13.1,4,37,
2-11,14:24:34,58,58,13.05,4,37,
2-11,14:24:35,58,58,13.05,4,37,
2-11,14:24:35,58,58,13.05,4,37,
2-11,14:24:36,59,59,13.1,4,37,
2-11,14:24:36,58,58,13.03,4,37,
2-11,14:24:37,57,57,13.05,4,37,
2-11,14:24:37,59,59,13.09,4,37,
2-11,14:24:38,56,56,13.01,4,37,
2-11,14:24:38,57,57,13.05,4,37,
2-11,14:24:39,58,58,13.06,4,37,
2-11,14:24:39,58,58,13.07,4,37,
2-11,14:24:40,58,58,13.06,4,37,
2-11,14:24:40,58,58,13.05,4,37,
2-11,14:24:41,58,58,13.06,4,37,
2-11,14:24:41,57,57,13.04,4,37,
2-11,14:24:42,58,58,13.07,4,37,
2-11,14:24:42,58,58,13.07,4,37,
2-11,14:24:43,57,57,13.05,4,37,
2-11,14:24:43,58,58,13.07,4,37,
2-11,14:24:44,57,57,13.03,4,37,
2-11,14:24:44,58,58,13.05,4,37,
2-11,14:24:45,59,59,13.07,4,37,
2-11,14:24:45,57,57,13.04,4,37,
2-11,14:24:46,56,56,13.04,4,37,
2-11,14:24:46,59,59,13.08,4,37,
2-11,14:24:47,57,57,13.02,4,37,
2-11,14:24:47,57,57,13.06,4,37,
2-11,14:24:48,58,58,13.07,4,37,
2-11,14:24:48,58,58,13.05,4,37,
2-11,14:24:49,55,55,13.01,4,37,
2-11,14:24:49,59,59,13.09,4,37,
2-11,14:24:50,58,58,13.06,4,37,
2-11,14:24:50,58,58,13.08,4,37,
2-11,14:24:51,58,58,13.08,4,37,
2-11,14:24:51,57,57,13.06,4,37,
2-11,14:24:52,56,56,13.03,4,37,
2-11,14:24:52,56,56,13.01,4,37,
2-11,14:24:53,60,60,13.12,4,37,
2-11,14:24:53,57,57,13.08,4,37,
2-11,14:24:54,58,58,13.07,4,37,
2-11,14:24:54,59,59,13.08,4,37,
2-11,14:24:55,57,57,13.06,4,37,
2-11,14:24:55,57,57,13.05,4,37,
2-11,14:24:56,57,57,13.06,4,37,
2-11,14:24:56,56,56,13.02,4,37,
2-11,14:24:57,58,58,13.08,4,37,
2-11,14:24:57,56,56,13.05,4,37,
2-11,14:24:58,59,59,13.08,4,37,
2-11,14:24:58,57,57,13.04,4,37,
2-11,14:24:59,57,57,13.05,4,37,
2-11,14:24:59,56,56,13.04,4,37,
2-11,14:25:0,58,58,13.07,4,37,
2-11,14:25:0,57,57,13.06,4,37,
2-11,14:25:1,58,58,13.09,4,37,
2-11,14:25:1,56,56,13.03,4,37,
2-11,14:25:2,57,57,13.06,4,37,
2-11,14:25:2,56,56,13.04,4,37,
2-11,14:25:3,56,56,13.04,4,37,
2-11,14:25:3,58,58,13.07,4,37,
2-11,14:25:4,57,57,13.07,4,37,
2-11,14:25:4,55,55,13.02,4,37,
2-11,14:25:5,57,57,13.05,4,37,
2-11,14:25:5,58,58,13.07,4,37,
2-11,14:25:6,57,57,13.04,4,37,
2-11,14:25:6,56,56,13.03,4,37,
2-11,14:25:7,56,56,13,4,37,
2-11,14:25:7,56,56,13.01,4,37,
2-11,14:25:8,58,58,13.09,4,37,
2-11,14:25:8,57,57,13.04,4,37,
2-11,14:25:9,57,57,13.05,4,37,
2-11,14:25:9,57,57,13.06,4,37,
2-11,14:25:10,56,56,13.03,4,37,
2-11,14:25:10,58,58,13.08,4,37,
2-11,14:25:11,58,58,13.06,4,37,
2-11,14:25:11,58,58,13.07,4,37,
2-11,14:25:12,56,56,13.03,4,37,
2-11,14:25:12,58,58,13.05,4,37,
2-11,14:25:13,57,57,13.04,4,37,
2-11,14:25:13,58,58,13.06,4,37,
2-11,14:25:14,58,58,13.09,4,37,
2-11,14:25:14,59,59,13.1,4,37,
2-11,14:25:15,57,57,13.03,4,37,
2-11,14:25:15,59,59,13.08,4,37,
2-11,14:25:16,57,57,13.05,4,37,
2-11,14:25:16,59,59,13.09,4,37,
2-11,14:25:17,57,57,13.04,4,37,
2-11,14:25:17,58,58,13.06,4,37,
2-11,14:25:18,57,57,13.04,4,37,
2-11,14:25:18,59,59,13.07,4,37,
2-11,14:25:19,58,58,13.07,4,37,
2-11,14:25:19,59,59,13.08,4,37,
2-11,14:25:20,59,59,13.09,4,37,
2-11,14:25:20,58,58,13.08,4,37,
2-11,14:25:21,60,60,13.08,4,37,
2-11,14:25:21,59,59,13.02,4,37,
2-11,14:25:22,56,56,12.57,4,37,
2-11,14:25:22,58,58,13.05,4,37,
2-11,14:25:23,57,57,12.45,4,37,
2-11,14:25:23,60,60,12.89,4,37,
2-11,14:25:24,57,57,12.64,4,37,
2-11,14:25:24,63,63,13.07,4,37,
2-11,14:25:25,64,64,13.08,4,37,
2-11,14:25:25,64,64,13.09,4,37,
2-11,14:25:26,64,64,13.07,4,37,
2-11,14:25:26,66,66,13.14,4,37,
2-11,14:25:27,67,67,13.12,4,37,
2-11,14:25:27,67,67,13.14,4,37,
2-11,14:25:28,67,67,13.1,4,37,
2-11,14:25:28,69,69,13.15,4,37,
2-11,14:25:29,69,69,13.17,4,37,
2-11,14:25:29,69,69,13.17,4,37,
2-11,14:25:30,70,70,13.15,4,37,
2-11,14:25:30,72,72,13.23,4,37,
2-11,14:25:31,72,72,13.17,4,37,
2-11,14:25:31,72,72,13.18,4,37,
2-11,14:25:32,72,72,13.19,4,37,
2-11,14:25:32,72,72,13.21,4,37,
2-11,14:25:33,74,74,13.22,4,37,
2-11,14:25:33,74,74,13.22,4,37,
2-11,14:25:34,75,75,13.23,4,37,
2-11,14:25:34,74,74,13.23,4,37,
2-11,14:25:35,74,74,13.2,4,37,
2-11,14:25:35,75,75,13.15,4,37,
2-11,14:25:36,75,75,13.21,4,37,
2-11,14:25:36,75,75,13.21,4,37,
2-11,14:25:37,74,74,13.19,4,37,
2-11,14:25:37,75,75,13.17,4,37,
2-11,14:25:38,75,75,13.13,4,37,
2-11,14:25:38,75,75,13.16,4,37,
2-11,14:25:39,69,69,12.74,4,37,
2-11,14:25:39,74,74,13.1,4,37,
2-11,14:25:40,73,73,13.09,4,37,
2-11,14:25:40,72,72,12.9,4,37,
2-11,14:25:41,74,74,13.13,4,37,
2-11,14:25:41,70,70,12.74,4,37,
2-11,14:25:42,72,72,13.09,4,37,
2-11,14:25:42,74,74,13.15,4,37,
2-11,14:25:43,70,70,12.49,4,37,
2-11,14:25:43,74,74,13.09,4,37,
2-11,14:25:44,70,70,12.94,4,37,
2-11,14:25:44,74,74,13.1,4,37,
2-11,14:25:45,74,74,13.14,4,37,
2-11,14:25:45,70,70,12.67,4,37,
2-11,14:25:46,73,73,13.09,4,37,
2-11,14:25:46,73,73,13.11,4,37,
2-11,14:25:47,72,72,13.09,4,37,
2-11,14:25:47,74,74,13.13,4,37,
2-11,14:25:48,73,73,13.12,4,37,
2-11,14:25:48,74,74,13.21,4,37,
2-11,14:25:49,74,74,13.19,4,37,
2-11,14:25:49,74,74,13.14,4,37,
2-11,14:25:50,73,73,13.1,4,37,
2-11,14:25:50,69,69,12.74,4,37,
2-11,14:25:51,72,72,13.11,4,37,
2-11,14:25:51,72,72,12.84,4,37,
2-11,14:25:52,73,73,13.11,4,37,
2-11,14:25:52,67,67,12.75,4,37,
2-11,14:25:53,73,73,13.1,4,37,
2-11,14:25:53,71,71,13.05,4,37,
2-11,14:25:54,71,71,12.09,4,37,
2-11,14:25:54,67,67,12.66,4,37,
2-11,14:25:55,68,68,12.29,4,37,
2-11,14:25:55,70,70,12.18,4,37,
2-11,14:25:56,67,67,12.62,4,37,
2-11,14:25:56,72,72,13.1,4,37,
2-11,14:25:57,71,71,13.11,4,37,
2-11,14:25:57,71,71,13.08,4,37,
2-11,14:25:58,70,70,13.07,4,37,
2-11,14:25:58,71,71,13.11,4,37,
2-11,14:25:59,69,69,13.05,4,37,
2-11,14:25:59,69,69,13.06,4,37,
2-11,14:26:0,70,70,13.1,4,37,
2-11,14:26:0,70,70,13.09,4,37,
2-11,14:26:1,70,70,13.07,4,37,
2-11,14:26:1,69,69,13.08,4,37,
2-11,14:26:2,69,69,13.09,4,37,
2-11,14:26:2,68,68,13.07,4,37,
2-11,14:26:3,68,68,13.13,4,37,
2-11,14:26:3,67,67,13.09,4,37,
2-11,14:26:4,67,67,13.12,4,37,
2-11,14:26:4,67,67,13.1,4,37,
2-11,14:26:5,66,66,13.03,4,37,
2-11,14:26:5,64,64,12.94,4,37,
2-11,14:26:6,65,65,13.07,4,37,
2-11,14:26:6,64,64,13.04,4,37,
2-11,14:26:7,64,64,12.83,4,37,
2-11,14:26:7,63,63,13.06,4,37,
2-11,14:26:8,64,64,13.07,4,37,
2-11,14:26:8,65,65,13.11,4,37,
2-11,14:26:9,63,63,13.08,4,37,
2-11,14:26:9,62,62,13.09,4,37,
2-11,14:26:10,65,65,13.13,4,37,
2-11,14:26:10,62,62,13.07,4,37,
2-11,14:26:11,62,62,13.08,4,37,
2-11,14:26:11,61,61,13.07,4,37,
2-11,14:26:12,63,63,13.11,4,37,
2-11,14:26:12,62,62,13.07,4,37,
2-11,14:26:13,63,63,13.08,4,37,
2-11,14:26:13,62,62,13.06,4,37,
2-11,14:26:14,64,64,13.12,4,37,
2-11,14:26:14,65,65,13.11,4,37,
2-11,14:26:15,65,65,13.09,4,37,
2-11,14:26:15,64,64,13.09,4,37,
2-11,14:26:16,65,65,13.09,4,37,
2-11,14:26:16,64,64,13.05,4,37,
2-11,14:26:17,65,65,13.08,4,37,
2-11,14:26:17,65,65,13.09,4,37,
2-11,14:26:18,65,65,13.07,4,37,
2-11,14:26:18,65,65,13.08,4,37,
2-11,14:26:19,65,65,13.07,4,37,
2-11,14:26:19,65,65,13.1,4,37,
2-11,14:26:20,65,65,12.82,4,37,
2-11,14:26:20,64,64,13.05,4,37,
2-11,14:26:21,65,65,13.07,4,37,
2-11,14:26:21,64,64,13.07,4,37,
2-11,14:26:22,64,64,13.07,4,37,
2-11,14:26:22,62,62,13.05,4,37,
2-11,14:26:23,63,63,13.05,4,37,
2-11,14:26:23,62,62,13.1,4,37,
2-11,14:26:24,63,63,13.1,4,37,
2-11,14:26:24,61,61,13.06,4,37,
2-11,14:26:25,61,61,13.06,4,37,
2-11,14:26:25,60,60,13.07,4,37,
2-11,14:26:26,60,60,13.04,4,37,
2-11,14:26:26,59,59,13.05,4,37,
2-11,14:26:27,60,60,13.03,4,37,
2-11,14:26:27,59,59,13.04,4,37,
2-11,14:26:28,59,59,13.04,4,37,
2-11,14:26:28,58,58,13.02,4,37,
2-11,14:26:29,57,57,13.03,4,37,
2-11,14:26:29,56,56,13.02,4,37,
2-11,14:26:30,56,56,13.06,4,37,
2-11,14:26:30,54,54,13.03,4,37,
2-11,14:26:31,55,55,13.05,4,37,
2-11,14:26:31,53,53,13.03,4,37,
2-11,14:26:32,53,53,13.04,4,37,
2-11,14:26:32,52,52,13.04,4,37,
2-11,14:26:33,52,52,13.05,4,37,
2-11,14:26:33,51,51,13.06,4,37,
2-11,14:26:34,49,49,13.03,4,37,
2-11,14:26:34,50,50,13.04,4,37,
2-11,14:26:35,48,48,13.02,4,37,
2-11,14:26:35,47,47,13.01,4,37,
2-11,14:26:36,49,49,13.04,4,37,
2-11,14:26:36,48,48,13.04,4,37,
2-11,14:26:37,48,48,13.05,4,37,
2-11,14:26:37,47,47,13.07,4,37,
2-11,14:26:38,50,50,13.1,4,37,
2-11,14:26:38,48,48,13.06,4,37,
2-11,14:26:39,49,49,13.08,4,37,
2-11,14:26:39,50,50,13.07,4,37,
2-11,14:26:40,49,49,13.09,4,37,
2-11,14:26:40,44,44,12.8,4,37,
2-11,14:26:41,43,43,12.64,4,37,
2-11,14:26:41,53,53,13.08,4,37,
2-11,14:26:42,52,52,13.08,4,37,
2-11,14:26:42,54,54,13.09,4,37,
2-11,14:26:43,56,56,13.09,4,37,
2-11,14:26:43,56,56,13.05,4,37,
2-11,14:26:44,59,59,13.09,4,37,
2-11,14:26:44,59,59,13.11,4,37,
2-11,14:26:45,59,59,13.09,4,37,
2-11,14:26:45,61,61,13.07,4,37,
2-11,14:26:46,62,62,13.05,4,37,
2-11,14:26:46,62,62,13.06,4,37,
2-11,14:26:47,63,63,13.09,4,37,
2-11,14:26:47,63,63,13.09,4,37,
2-11,14:26:48,63,63,13.09,4,37,
2-11,14:26:48,63,63,13.12,4,37,
2-11,14:26:49,63,63,13.07,4,37,
2-11,14:26:49,63,63,13.08,4,37,
2-11,14:26:50,63,63,13.11,4,37,
2-11,14:26:50,61,61,13.09,4,37,
2-11,14:26:51,62,62,13.1,4,37,
